"path","cc"
"images/Hamby (2009) Barrel/bullets/brX_1_land5.x3p",100
"images/Hamby (2009) Barrel/bullets/brX_1_land6.x3p",125
"images/Hamby (2009) Barrel/bullets/Ukn Bullet B-1.x3p",125
"images/Hamby (2009) Barrel/bullets/Ukn Bullet B-2.x3p",NA
"images/Hamby (2009) Barrel/bullets/Ukn Bullet B-3.x3p",175
"images/Hamby (2009) Barrel/bullets/Ukn Bullet B-4.x3p",150
"images/Hamby (2009) Barrel/bullets/Ukn Bullet B-5.x3p",200
"images/Hamby (2009) Barrel/bullets/Ukn Bullet B-6.x3p",225
"images/Hamby (2009) Barrel/bullets/Ukn Bullet C-1.x3p",150
"images/Hamby (2009) Barrel/bullets/Ukn Bullet C-2.x3p",150
"images/Hamby (2009) Barrel/bullets/Ukn Bullet C-3.x3p",125
"images/Hamby (2009) Barrel/bullets/Ukn Bullet C-4.x3p",225
"images/Hamby (2009) Barrel/bullets/Ukn Bullet C-5.x3p",125
"images/Hamby (2009) Barrel/bullets/Ukn Bullet C-6.x3p",150
"images/Hamby (2009) Barrel/bullets/Ukn Bullet D-1.x3p",100
"images/Hamby (2009) Barrel/bullets/Ukn Bullet D-2.x3p",225
"images/Hamby (2009) Barrel/bullets/Ukn Bullet D-3.x3p",225
"images/Hamby (2009) Barrel/bullets/Ukn Bullet D-4.x3p",175
"images/Hamby (2009) Barrel/bullets/Ukn Bullet D-5.x3p",125
"images/Hamby (2009) Barrel/bullets/Ukn Bullet D-6.x3p",150
"images/Hamby (2009) Barrel/bullets/Ukn Bullet E-1.x3p",200
"images/Hamby (2009) Barrel/bullets/Ukn Bullet E-2.x3p",150
"images/Hamby (2009) Barrel/bullets/Ukn Bullet E-3.x3p",125
"images/Hamby (2009) Barrel/bullets/Ukn Bullet E-4.x3p",150
"images/Hamby (2009) Barrel/bullets/Ukn Bullet E-5.x3p",150
"images/Hamby (2009) Barrel/bullets/Ukn Bullet E-6.x3p",125
"images/Hamby (2009) Barrel/bullets/Ukn Bullet F-1.x3p",125
"images/Hamby (2009) Barrel/bullets/Ukn Bullet F-2.x3p",200
"images/Hamby (2009) Barrel/bullets/Ukn Bullet F-3.x3p",175
"images/Hamby (2009) Barrel/bullets/Ukn Bullet F-4.x3p",125
"images/Hamby (2009) Barrel/bullets/Ukn Bullet F-5.x3p",200
"images/Hamby (2009) Barrel/bullets/Ukn Bullet F-6.x3p",150
"images/Hamby (2009) Barrel/bullets/Ukn Bullet H-1.x3p",125
"images/Hamby (2009) Barrel/bullets/Ukn Bullet H-2.x3p",125
"images/Hamby (2009) Barrel/bullets/Ukn Bullet H-3.x3p",200
"images/Hamby (2009) Barrel/bullets/Ukn Bullet H-4.x3p",250
"images/Hamby (2009) Barrel/bullets/Ukn Bullet H-5.x3p",175
"images/Hamby (2009) Barrel/bullets/Ukn Bullet H-6.x3p",100
"images/Hamby (2009) Barrel/bullets/Ukn Bullet J-1.x3p",175
"images/Hamby (2009) Barrel/bullets/Ukn Bullet J-2.x3p",150
