"bullet","x","sd"
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-5.x3p",300,1.11865963744394
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-5.x3p",325,1.09408576701509
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-5.x3p",350,1.1491820645733
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-5.x3p",375,1.16009991573002
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-5.x3p",400,1.15136086925028
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-5.x3p",425,1.19392576755046
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-5.x3p",450,1.23026619010263
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-5.x3p",475,1.23605290743936
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-5.x3p",50,1.65654793418386
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-5.x3p",500,1.2343550405759
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-5.x3p",75,1.54894500196836
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-6.x3p",100,2.13679686513112
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-6.x3p",125,2.01154658139084
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-6.x3p",150,1.78424025514237
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-6.x3p",175,1.54975260246725
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-6.x3p",200,1.80610580799682
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-6.x3p",225,2.1033530969156
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-6.x3p",25,2.03760861088289
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-6.x3p",250,1.85911865256775
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-6.x3p",275,2.32321797628081
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-6.x3p",300,2.16757136519009
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-6.x3p",325,2.58566949661088
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-6.x3p",350,2.34116011731156
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-6.x3p",375,2.79739740717077
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-6.x3p",400,2.13069521209148
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-6.x3p",425,3.26324169406738
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-6.x3p",450,3.20785271585299
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-6.x3p",475,2.39692621379773
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-6.x3p",50,1.67725352563585
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-6.x3p",500,3.34483656801575
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-6.x3p",75,1.81869226010971
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-1.x3p",100,1.37825727842741
