"path","cc"
"~/Downloads/Hamby Set 44/unknown//brV_1_land6.x3p",100
"~/Downloads/Hamby Set 44/unknown//brW_1_land1.x3p",150
"~/Downloads/Hamby Set 44/unknown//brW_1_land2.x3p",125
"~/Downloads/Hamby Set 44/unknown//brW_1_land3.x3p",100
"~/Downloads/Hamby Set 44/unknown//brW_1_land4.x3p",100
"~/Downloads/Hamby Set 44/unknown//brW_1_land5.x3p",125
"~/Downloads/Hamby Set 44/unknown//brW_1_land6.x3p",100
"~/Downloads/Hamby Set 44/unknown//brX_1_land1.x3p",100
"~/Downloads/Hamby Set 44/unknown//brX_1_land2.x3p",100
"~/Downloads/Hamby Set 44/unknown//brX_1_land3.x3p",100
"~/Downloads/Hamby Set 44/unknown//brX_1_land4.x3p",200
"~/Downloads/Hamby Set 44/unknown//brX_1_land5.x3p",100
"~/Downloads/Hamby Set 44/unknown//brX_1_land6.x3p",100
