"bullet","groove_left","groove_right"
"~/Downloads/Hamby Set 44/unknown/brG_1_land4.x3p",306.25,2293.75
"~/Downloads/Hamby Set 44/unknown/brG_1_land5.x3p",171.875,2167.1875
"~/Downloads/Hamby Set 44/unknown/brG_1_land6.x3p",228.125,2345.3125
"~/Downloads/Hamby Set 44/unknown/brH_1_land1.x3p",307.8125,2242.1875
"~/Downloads/Hamby Set 44/unknown/brH_1_land2.x3p",192.1875,2218.75
"~/Downloads/Hamby Set 44/unknown/brH_1_land3.x3p",376.5625,2351.5625
"~/Downloads/Hamby Set 44/unknown/brH_1_land4.x3p",396.875,2376.5625
"~/Downloads/Hamby Set 44/unknown/brH_1_land5.x3p",404.6875,2381.25
"~/Downloads/Hamby Set 44/unknown/brH_1_land6.x3p",375,2354.6875
"~/Downloads/Hamby Set 44/unknown/brI_1_land1.x3p",337.5,2310.9375
"~/Downloads/Hamby Set 44/unknown/brI_1_land2.x3p",151.5625,2357.8125
"~/Downloads/Hamby Set 44/unknown/brI_1_land3.x3p",357.8125,2332.8125
"~/Downloads/Hamby Set 44/unknown/brI_1_land4.x3p",142.1875,2264.0625
"~/Downloads/Hamby Set 44/unknown/brI_1_land5.x3p",389.0625,2373.4375
"~/Downloads/Hamby Set 44/unknown/brI_1_land6.x3p",448.4375,2301.5625
"~/Downloads/Hamby Set 44/unknown/brL_1_land1.x3p",248.4375,2234.375
"~/Downloads/Hamby Set 44/unknown/brL_1_land2.x3p",231.25,2220.3125
"~/Downloads/Hamby Set 44/unknown/brL_1_land3.x3p",75,2267.1875
"~/Downloads/Hamby Set 44/unknown/brL_1_land4.x3p",293.75,2217.1875
"~/Downloads/Hamby Set 44/unknown/brL_1_land5.x3p",293.75,2279.6875
"~/Downloads/Hamby Set 44/unknown/brL_1_land6.x3p",0,2395.3125
"~/Downloads/Hamby Set 44/unknown/brM_1_land1.x3p",339.0625,2301.5625
"~/Downloads/Hamby Set 44/unknown/brM_1_land2.x3p",193.75,2198.4375
"~/Downloads/Hamby Set 44/unknown/brM_1_land3.x3p",353.125,2335.9375
"~/Downloads/Hamby Set 44/unknown/brM_1_land4.x3p",221.875,2203.125
"~/Downloads/Hamby Set 44/unknown/brM_1_land5.x3p",306.25,2287.5
"~/Downloads/Hamby Set 44/unknown/brM_1_land6.x3p",262.5,2425
"~/Downloads/Hamby Set 44/unknown/brN_1_land1.x3p",0,2250
"~/Downloads/Hamby Set 44/unknown/brN_1_land2.x3p",373.4375,2348.4375
"~/Downloads/Hamby Set 44/unknown/brN_1_land3.x3p",414.0625,2407.8125
"~/Downloads/Hamby Set 44/unknown/brN_1_land4.x3p",262.5,2245.3125
"~/Downloads/Hamby Set 44/unknown/brN_1_land5.x3p",304.6875,2265.625
"~/Downloads/Hamby Set 44/unknown/brN_1_land6.x3p",378.125,2360.9375
"~/Downloads/Hamby Set 44/unknown/brR_1_land1.x3p",342.1875,2303.125
"~/Downloads/Hamby Set 44/unknown/brR_1_land2.x3p",298.4375,2289.0625
"~/Downloads/Hamby Set 44/unknown/brR_1_land3-payattn.x3p",0,2390.625
"~/Downloads/Hamby Set 44/unknown/brR_1_land4.x3p",381.25,2376.5625
"~/Downloads/Hamby Set 44/unknown/brR_1_land5.x3p",189.0625,2454.6875
"~/Downloads/Hamby Set 44/unknown/brR_1_land6.x3p",379.6875,2484.375
"~/Downloads/Hamby Set 44/unknown/brU_1_land1.x3p",292.1875,2814.0625
"~/Downloads/Hamby Set 44/unknown/brU_1_land2.x3p",295.3125,2301.5625
"~/Downloads/Hamby Set 44/unknown/brU_1_land3.x3p",257.8125,2335.9375
"~/Downloads/Hamby Set 44/unknown/brU_1_land4.x3p",384.375,2371.875
"~/Downloads/Hamby Set 44/unknown/brU_1_land5.x3p",420.3125,2375
"~/Downloads/Hamby Set 44/unknown/brU_1_land6.x3p",293.75,2278.125
"~/Downloads/Hamby Set 44/unknown/brV_1_land1.x3p",300,2284.375
"~/Downloads/Hamby Set 44/unknown/brV_1_land2.x3p",356.25,2542.1875
"~/Downloads/Hamby Set 44/unknown/brV_1_land3.x3p",345.3125,2320.3125
"~/Downloads/Hamby Set 44/unknown/brV_1_land4.x3p",348.4375,2329.6875
"~/Downloads/Hamby Set 44/unknown/brV_1_land5.x3p",371.875,2351.5625
"~/Downloads/Hamby Set 44/unknown/brV_1_land6.x3p",303.125,2281.25
"~/Downloads/Hamby Set 44/unknown/brW_1_land1.x3p",345.3125,2320.3125
"~/Downloads/Hamby Set 44/unknown/brW_1_land2.x3p",328.125,2310.9375
"~/Downloads/Hamby Set 44/unknown/brW_1_land3.x3p",342.1875,2267.1875
"~/Downloads/Hamby Set 44/unknown/brW_1_land4.x3p",85.9375,2350
"~/Downloads/Hamby Set 44/unknown/brW_1_land5.x3p",164.0625,2379.6875
"~/Downloads/Hamby Set 44/unknown/brW_1_land6.x3p",365.625,2348.4375
"~/Downloads/Hamby Set 44/unknown/brX_1_land1.x3p",326.5625,2323.4375
"~/Downloads/Hamby Set 44/unknown/brX_1_land2.x3p",275,2281.25
"~/Downloads/Hamby Set 44/unknown/brX_1_land3.x3p",265.625,2260.9375
"~/Downloads/Hamby Set 44/unknown/brX_1_land4.x3p",285.9375,2256.25
"~/Downloads/Hamby Set 44/unknown/brX_1_land5.x3p",442.1875,2396.875
"~/Downloads/Hamby Set 44/unknown/brX_1_land6.x3p",417.1875,2354.6875
