"ccf","lag","D","sd.D","b1","b2","x1","x2","num.matches","num.mismatches","cms","cms2","non_cms","left_cms","right_cms","left_noncms","right_noncms","sumpeaks","data","resID"
0.713662144265052,223,4.66482459745984,5.36111943610621,"brL_1_land5","br1_1_land1",100,100,6,16,3,2,10,0,1,2,0,20.7999188362639,"data-new-25-25/unkn47.RData",1
0.465506101579884,20,8.86527232962508,4.25256520444724,"brL_1_land6","br1_1_land1",100,100,0,29,0,0,29,0,0,29,29,0,"data-new-25-25/unkn48.RData",1
0.778289598659807,204,2.69767911995337,5.01565392850718,"brM_1_land1","br1_1_land1",125,100,1,23,1,0,21,0,0,21,2,13.6275210287211,"data-new-25-25/unkn49.RData",1
0.307433400563252,214,4.00625153887712,3.53124324236859,"brA_1_land5","br1_1_land1",100,100,7,15,4,2,10,4,0,0,10,6.63416025765619,"data-new-25-25/unkn5.RData",1
0.792033725202316,133,3.8161765731798,5.22281668861271,"brM_1_land2","br1_1_land1",125,100,5,14,3,2,8,0,0,8,2,9.35025763110064,"data-new-25-25/unkn50.RData",1
0.663210800228668,214,3.28128529373781,4.74981966789557,"brM_1_land3","br1_1_land1",150,100,0,23,0,0,23,0,0,23,23,0,"data-new-25-25/unkn51.RData",1
0.74553617773144,136,5.40407096939835,5.21689808024418,"brM_1_land4","br1_1_land1",125,100,8,19,4,2,7,0,0,6,7,2.47256650593558,"data-new-25-25/unkn52.RData",1
0.58930154846259,186,6.9869664790533,5.92177971758263,"brM_1_land5","br1_1_land1",125,100,4,14,2,1,8,0,2,8,0,49.6884226768167,"data-new-25-25/unkn53.RData",1
0.723364173347242,217,2.44553663137219,4.87150551163643,"brM_1_land6","br1_1_land1",100,100,4,22,2,1,15,0,0,2,4,6.71536898148614,"data-new-25-25/unkn54.RData",1
0.703103118865504,314,3.31576151099659,5.13174089593319,"brN_1_land1","br1_1_land1",100,100,5,15,2,1,8,0,0,1,8,5.02550329950188,"data-new-25-25/unkn55.RData",1
0.363719469304362,223,9.3663196383522,5.64132757499548,"brN_1_land2","br1_1_land1",100,100,2,17,2,1,17,0,2,17,0,82.1139451848418,"data-new-25-25/unkn56.RData",1
0.303926667674742,68,5.744436858522,3.4838261922152,"brN_1_land3","br1_1_land1",100,100,2,20,1,1,12,0,1,12,0,7.71600613701818,"data-new-25-25/unkn57.RData",1
0.605385327270133,201,7.44592775197902,5.39730429551352,"brN_1_land4","br1_1_land1",100,100,2,19,1,1,14,0,0,2,3,4.59893401709407,"data-new-25-25/unkn58.RData",1
0.629992231449569,208,5.43707173673346,5.12461992354694,"brN_1_land5","br1_1_land1",125,100,2,20,1,1,14,0,0,2,4,4.38484834010237,"data-new-25-25/unkn59.RData",1
