"b2","b1","ccf","lag","D","sd.D","x1","x2","signature.length","matches.per.mm","mismatches.per.mm","cms.per.mm","cms2.per.mm","non_cms.per.mm","left_cms.per.mm","right_cms.per.mm","left_noncms.per.mm","right_noncms.per.mm","sumpeaks.per.mm","data","id.x","id.y","match","span"
"Ukn Bullet J-1","Br5 Bullet 2-4",0.40717132570662,10.9375,2.05745723404697,2.66250156633494,159.375,120.3125,1.928125,4.6677471636953,23.3387358184765,2.07455429497569,1.03727714748784,9.3354943273906,0,0,1.55591572123177,7.26094003241491,4.23506146757543,"data-nist/unkn37-nist.RData",20,36,FALSE,1
"Ukn Bullet J-1","Br3 Bullet 2-3",0.419410717845312,79.6875,1.79788808966701,2.46317766235739,179.6875,120.3125,1.928125,2.07455429497569,26.45056726094,0.518638573743922,0.518638573743922,7.26094003241491,0,0,3.11183144246353,7.26094003241491,2.51536219606212,"data-nist/unkn37-nist.RData",13,36,FALSE,1
"Ukn Bullet J-1","Br8 Bullet 2-1",0.445833573277182,-646.875,2.77377838449204,2.95652457433594,220.3125,120.3125,1.928125,3.11183144246353,37.8606158833063,1.55591572123177,1.03727714748784,15.0405186385737,0,0,15.0405186385737,12.9659643435981,6.36861105089829,"data-nist/unkn37-nist.RData",43,36,FALSE,1
"Ukn Bullet J-1","Br5 Bullet 1-3",0.247592926695538,-870.3125,3.32271286489186,2.72579981001104,100,120.3125,1.928125,5.70502431118314,45.1215559157212,3.11183144246353,1.55591572123177,19.708265802269,0,0,19.708265802269,19.1896272285251,8.12228425539724,"data-nist/unkn37-nist.RData",21,36,FALSE,1
"Ukn Bullet J-1","Br4 Bullet 2-6",0.391709509297216,-206.25,1.98360603281148,2.40766272397545,200,120.3125,1.928125,3.63047001620746,29.0437601296596,1.55591572123177,0.518638573743922,10.3727714748784,0,0,7.77957860615883,6.22366288492707,3.45021550826343,"data-nist/unkn37-nist.RData",40,36,FALSE,1
"Ukn Bullet J-1","Br9 Bullet 1-2",0.40375943142883,473.4375,9.49023304457613,4.59240359247517,120.3125,120.3125,1.928125,3.11183144246353,31.1183144246353,1.03727714748784,0.518638573743922,10.8914100486224,0,0,10.8914100486224,5.70502431118314,3.02721266737085,"data-nist/unkn37-nist.RData",50,36,FALSE,1
"Ukn Bullet J-1","Br10 Bullet 2-3",0.434402056680036,-971.875,1.99628339359,2.43634831928141,120.3125,120.3125,1.928125,6.74230145867099,49.7893030794165,3.11183144246353,1.55591572123177,25.9319286871961,0,0,19.1896272285251,25.9319286871961,4.36775431988756,"data-nist/unkn37-nist.RData",55,36,FALSE,1
"Ukn Bullet J-1","Br1 Bullet 1-5",0.39622671577634,-881.25,2.42322167274335,2.91831639207443,59.375,120.3125,1.9203125,0,53.1163547599675,0,0,53.1163547599675,0,0,53.1163547599675,53.1163547599675,0,"data-nist/unkn37-nist.RData",5,36,FALSE,1
"Ukn Bullet J-1","Br3 Bullet 2-2",0.367773010515315,325,2.00034936553918,2.25399271264146,159.375,120.3125,1.928125,5.18638573743922,33.7115072933549,4.14910858995138,2.07455429497569,15.0405186385737,0,0,14.0032414910859,15.0405186385737,6.7689257192344,"data-nist/unkn37-nist.RData",18,36,FALSE,1
"Ukn Bullet J-1","Br10 Bullet 2-4",0.380298096995613,298.4375,2.42026599562277,2.7080767960555,120.3125,120.3125,1.928125,1.03727714748784,32.1555915721232,0.518638573743922,0,16.0777957860616,0,0,12.4473257698541,16.0777957860616,0.833159308658127,"data-nist/unkn37-nist.RData",56,36,FALSE,1
